"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"Codigo";"Sigla";"Nome";"DataIns";"DataAlt";"RespAlt"
66807548.00;0;0;0;0;1;"ANA";"Agência Nacional de Águas";11/2/2020 00:00:00;;8
66807549.00;0;0;0;0;2;"DNOS";"Departamento Nacional de Obras de Saneamento";11/2/2020 00:00:00;;8
66807550.00;0;0;0;0;3;"DNIT";"Departamento Nacional de Infra-Estrutura de Transportes";11/2/2020 00:00:00;;8
66807551.00;0;0;0;0;4;"CODEVASF";"Cia de Desenvolvimento dos Vales do São Francisco e Parnaiba";11/2/2020 00:00:00;;8
66807552.00;0;0;0;0;5;"INMET";"Instituto Nacional de Meteorologia";11/2/2020 00:00:00;;8
66807553.00;0;0;0;0;6;"CESP";"Companhia Energética de São Paulo-CESP";11/2/2020 00:00:00;;8
66807554.00;0;0;0;0;7;"CEEE";"Companhia Estadual de Geração e Transmissão de Energia Elétrica-CEEE";11/2/2020 00:00:00;;8
66807555.00;0;0;0;0;8;"LIGHT";"Light Energia S.A";11/2/2020 00:00:00;;8
66807556.00;0;0;0;0;9;"FUNCEME-CE";"Fundação Cearense de Meteorologia e Recursos Hídricos";11/2/2020 00:00:00;;8
66807557.00;0;0;0;0;10;"DAEE-SP";"Departamento de Águas e Energia Elétrica do Estado de São Paulo";11/2/2020 00:00:00;;8
66807558.00;0;0;0;0;11;"SUDENE";"Superintendência do Desenvolvimento do Nordeste";11/2/2020 00:00:00;;8
66807559.00;0;0;0;0;12;"PRADA";"Cia Prada de Eletricidade";11/2/2020 00:00:00;;8
66807560.00;0;0;0;0;13;"CEMAT";"Centrais Elétricas Matogrossenses S.A.";11/2/2020 00:00:00;;8
66807561.00;0;0;0;0;14;"EFMM";"Estrada de Ferro Madeira-Mamoré";11/2/2020 00:00:00;;8
66807562.00;0;0;0;0;15;"CELESC";"Celesc Geração S.A";11/2/2020 00:00:00;;8
66807563.00;0;0;0;0;16;"EEVP";"Empresa de Eletricidade Vale do Paranapanema S.A.";11/2/2020 00:00:00;;8
66807564.00;0;0;0;0;17;"SUL PAULISTA";"Empresa de Eletricidade Sul Paulista S.A.";11/2/2020 00:00:00;;8
66807565.00;0;0;0;0;18;"CEA";"Cia de Eletricidade do Amapá";11/2/2020 00:00:00;;8
66807566.00;0;0;0;0;19;"CELPA";"Centrais Elétricas do Pará  S.A.";11/2/2020 00:00:00;;8
66807567.00;0;0;0;0;20;"ALUMINAS";"Alumínio Minas Gerais S.A.";11/2/2020 00:00:00;;8
66807568.00;0;0;0;0;21;"EFVM";"Estrada de Ferro Vitória-Minas";11/2/2020 00:00:00;;8
66807569.00;0;0;0;0;22;"CBCC";"Cia Brasileira de Carbureto de Cálcio";11/2/2020 00:00:00;;8
66807570.00;0;0;0;0;23;"CEMIG";"CEMIG Geração e Transmissão S.A";11/2/2020 00:00:00;;8
66807571.00;0;0;0;0;24;"SCHLEMN";"Cia Alexandre Schlemn";11/2/2020 00:00:00;;8
66807572.00;0;0;0;0;25;"ICB";"Instituto do Cacau da Bahia";11/2/2020 00:00:00;;8
66807573.00;0;0;0;0;26;"EESC";"Escola de Engenharia de São Carlos";11/2/2020 00:00:00;;8
66807574.00;0;0;0;0;27;"SANBRA";"Sociedade Algodoeira do Nordeste do Brasil";11/2/2020 00:00:00;;8
66807575.00;0;0;0;0;28;"COPEL";"Copel Geração e Transmissão S.A";11/2/2020 00:00:00;;8
66807576.00;0;0;0;0;29;"SOUZA CRUZ";"Cia de Cigarros Souza Cruz Indústria e Comércio Ltda.";11/2/2020 00:00:00;;8
66807577.00;0;0;0;0;30;"ICOMI";"Indústria e Comércio de Minérios";11/2/2020 00:00:00;;8
66807578.00;0;0;0;0;31;"ACCO";"Anderson Clayton e Cia Ltda.";11/2/2020 00:00:00;;8
66807579.00;0;0;0;0;32;"CMNP";"Cia de Melhoramento Norte do Paraná";11/2/2020 00:00:00;;8
66807580.00;0;0;0;0;33;"CTNP";"Cia de Terras Norte do Paraná";11/2/2020 00:00:00;;8
66807581.00;0;0;0;0;34;"CEMAR";"Companhia Energética do Maranhão S.A.";11/2/2020 00:00:00;;8
66807582.00;0;0;0;0;35;"FABA";"Fomento Agrícola da Bahia";11/2/2020 00:00:00;;8
66807583.00;0;0;0;0;36;"CPFL-FERROLIGAS";"Cia Paulista de Ferro Ligas";11/2/2020 00:00:00;;8
66807584.00;0;0;0;0;37;"COELBA";"Cia de Eletricidade do Estado da Bahia";11/2/2020 00:00:00;;8
66807585.00;0;0;0;0;38;"SABA";"Secretaria da Agricultura da Bahia";11/2/2020 00:00:00;;8
66807586.00;0;0;0;0;39;"FASE";"Fomento Agrícola de Sergipe";11/2/2020 00:00:00;;8
66807587.00;0;0;0;0;40;"IRGA";"Instituto Riograndense do Arroz";11/2/2020 00:00:00;;8
66807588.00;0;0;0;0;41;"USIBA";"Usina Siderurgica da Bahia";11/2/2020 00:00:00;;8
66807589.00;0;0;0;0;42;"EMBRAPA/IPAGRO";"Empresa Brasileira de Pesquisa Agropecuária";11/2/2020 00:00:00;;8
66807590.00;0;0;0;0;43;"KLABIN";"Klabin S.A";11/2/2020 00:00:00;;8
66807591.00;0;0;0;0;44;"CONTUR";"Contur Energética";11/2/2020 00:00:00;;8
66807592.00;0;0;0;0;45;"STEVENSON";"F. Stevenson e Companhia";11/2/2020 00:00:00;;8
66807593.00;0;0;0;0;46;"DER-SP";"Departamento de Estrada de Rodagem do Estado de São Paulo";11/2/2020 00:00:00;;8
66807594.00;0;0;0;0;47;"RFFSA";"Rede Ferroviária Federal S.A.";11/2/2020 00:00:00;;8
