"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"Codigo";"CodigoIBGE";"Sigla";"Nome";"DataIns";"DataAlt";"RespAlt"
38439164.00;0;0;0;0;1;11;"RO";"RONDÔNIA";;;
38439165.00;0;0;0;0;2;12;"AC";"ACRE";;;
38439166.00;0;0;0;0;3;13;"AM";"AMAZONAS";;;
38439167.00;0;0;0;0;4;14;"RR";"RORAIMA";;;
38439168.00;0;0;0;0;5;15;"PA";"PARÁ";;;
38439169.00;0;0;0;0;6;16;"AP";"AMAPÁ";;;
38439170.00;0;0;0;0;7;21;"MA";"MARANHÃO";;;
38439171.00;0;0;0;0;8;22;"PI";"PIAUÍ";;;
38439172.00;0;0;0;0;9;23;"CE";"CEARÁ";;;
38439173.00;0;0;0;0;10;24;"RN";"RIO GRANDE DO NORTE";;;
38439174.00;0;0;0;0;11;25;"PB";"PARAÍBA";;;
38439175.00;0;0;0;0;12;26;"PE";"PERNAMBUCO";;;
38439176.00;0;0;0;0;13;27;"AL";"ALAGOAS";;;
38439177.00;0;0;0;0;15;28;"SE";"SERGIPE";;;
38439178.00;0;0;0;0;16;29;"BA";"BAHIA";;;
38439179.00;0;0;0;0;17;31;"MG";"MINAS GERAIS";;;
38439180.00;0;0;0;0;18;32;"ES";"ESPÍRITO SANTO";;;
38439181.00;0;0;0;0;19;33;"RJ";"RIO DE JANEIRO";;;
38439182.00;0;0;0;0;21;35;"SP";"SÃO PAULO";;;
38439183.00;0;0;0;0;22;41;"PR";"PARANÁ";;;
38439184.00;0;0;0;0;23;42;"SC";"SANTA CATARINA";;;
38439185.00;0;0;0;0;24;43;"RS";"RIO GRANDE DO SUL";;;
38439186.00;0;0;0;0;25;51;"MT";"MATO GROSSO";;;
38439187.00;0;0;0;0;26;52;"GO";"GOIÁS";;;
38439188.00;0;0;0;0;27;53;"DF";"DISTRITO FEDERAL";;;
38439189.00;0;0;0;0;28;50;"MS";"MATO GROSSO DO SUL";;;
38439190.00;0;0;0;0;29;17;"TO";"TOCANTINS";;;
38439191.00;0;0;0;0;61;;"UR";"URUGUAI";;;
38439192.00;0;0;0;0;62;;"AR";"ARGENTINA";;;
38439193.00;0;0;0;0;63;;"PG";"PARAGUAI";;;
38439194.00;0;0;0;0;64;;"CH";"CHILE";;;
38439195.00;0;0;0;0;65;;"BO";"BOLÍVIA";;;
38439196.00;0;0;0;0;66;;"PU";"PERU";;;
38439197.00;0;0;0;0;67;;"CO";"COLÔMBIA";;;
38439198.00;0;0;0;0;68;;"EQ";"EQUADOR";;;
38439199.00;0;0;0;0;69;;"VE";"VENEZUELA";;;
38439200.00;0;0;0;0;70;;"GU";"GUIANA";;;
38439201.00;0;0;0;0;71;;"SU";"SURINAME";;;
38439202.00;0;0;0;0;72;;"GF";"GUIANA FRANCESA";;;
