Estados.Nome;Estados.Sigla
ACRE;AC
ALAGOAS;AL
AMAP¡;AP
AMAZONAS;AM
ARGENTINA;AR
BAHIA;BA
BOLÕVIA;BO
CEAR¡;CE
COL‘MBIA;CO
DISTRITO FEDERAL;DF
EQUADOR;EQ
ESPêRITO SANTO;ES
GOI¡S;GO
GUIANA;GU
GUIANA FRANCESA;GF
MARANH√O;MA
MATO GROSSO;MT
MATO GROSSO DO SUL;MS
MINAS GERAIS;MG
PAR¡;PA
PARAGUAI;PG
PARAÕBA;PB
PARAN¡;PR
PERNAMBUCO;PE
PERU;PU
PIAUÕ;PI
RIO DE JANEIRO;RJ
RIO GRANDE DO NORTE;RN
RIO GRANDE DO SUL;RS
ROND‘NIA;RO
RORAIMA;RR
SANTA CATARINA;SC
S√O PAULO;SP
SERGIPE;SE
SURINAME;SU
TOCANTINS;TO
URUGUAI;UR
