"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"BaciaCodigo";"SubBaciaCodigo";"Codigo";"Nome";"Jurisdicao";"DataIns";"DataAlt";"RespAlt"
3712214.00;0;0;0;0;1;10;10900000;"RIO JAVARI";1;;;
3712215.00;0;0;0;0;1;10;10901000;"RIO JAQUIRANA";1;;;
3712216.00;0;0;0;0;1;10;10909000;"PARANÃ BENJAMIN CONSTANT";1;;;
3712217.00;0;0;0;0;1;10;10909900;"PARANÁ DO SARAIVA";1;;;
3712218.00;0;0;0;0;1;10;10910000;"RIO BATA";2;;;
3712219.00;0;0;0;0;1;10;10911000;"IGARAPÉ ÁGUA PRETA";2;;;
3712220.00;0;0;0;0;1;10;10912000;"IGARAPÉ IACURANA";2;;;
3712221.00;0;0;0;0;1;10;10920000;"RIO CURUCA";2;;;
3712222.00;0;0;0;0;1;10;10921000;"RIO ARROJO";2;;;
3712223.00;0;0;0;0;1;10;10922000;"IGARAPÉ SALVADOR";2;;;
3712224.00;0;0;0;0;1;10;10923000;"RIO PARDO";2;;;
3712225.00;0;0;0;0;1;10;10924000;"IGARAPÉ SANTO ANTÔNIO";2;;;
3712226.00;0;0;0;0;1;10;10925000;"IGARAPÉ DO MAIA";2;;;
3712227.00;0;0;0;0;1;10;10926000;"IGARAPÉ TAMBAQUI";2;;;
3712228.00;0;0;0;0;1;10;10930000;"IGARAPÉ DO CAMARÃO";2;;;
3712229.00;0;0;0;0;1;10;10931000;"IGARAPÉ IRALETE";2;;;
3712230.00;0;0;0;0;1;10;10932000;"IGARAPÉ DO RODRIGUES";2;;;
3712231.00;0;0;0;0;1;10;10933000;"IGARAPÉ CACHOEIRA";2;;;
3712232.00;0;0;0;0;1;10;10934000;"IGARAPÉ TAPIRA";2;;;
3712233.00;0;0;0;0;1;10;10935000;"IGARAPÉ SÃO RAIMUNDO";2;;;
3712234.00;0;0;0;0;1;10;10936000;"IGARAPÉ DO MOURA";2;;;
3712235.00;0;0;0;0;1;10;10937000;"IGARAPÉ PAUMIRI";2;;;
3712236.00;0;0;0;0;1;10;10940000;"RIO ITACUAI";2;;;
3712237.00;0;0;0;0;1;10;10941000;"RIO ITUI";2;;;
3712238.00;0;0;0;0;1;10;10941100;"RIO PARAGUAÇÚ";2;;;
3712239.00;0;0;0;0;1;10;10941110;"IGARAPÉ PARAGUA";2;;;
3712240.00;0;0;0;0;1;10;10941200;"RIO BRANQUINHO";2;;;
3712241.00;0;0;0;0;1;10;10941250;"IGARAPÉ PROVIDÊNCIA";2;;;
3712242.00;0;0;0;0;1;10;10941300;"IGARAPÉ LIMÃO";2;;;
3712243.00;0;0;0;0;1;10;10941350;"IGARAPÉ MAMORIA";2;;;
3712244.00;0;0;0;0;1;10;10941400;"IGARAPÉ BEIJA-FLOR";2;;;
3712245.00;0;0;0;0;1;10;10941450;"IGARAPÉ BOLEIROS";2;;;
3712246.00;0;0;0;0;1;10;10941500;"RIO NEGRO";2;;;
3712247.00;0;0;0;0;1;10;10941550;"IGARAPÉ TIGRE";2;;;
3712248.00;0;0;0;0;1;10;10941600;"IGARAPÉ RESANTAURAÇÃO";2;;;
3712249.00;0;0;0;0;1;10;10941650;"IGARAPÉ IRACEMA";2;;;
3712250.00;0;0;0;0;1;10;10941700;"RIO NOVO";2;;;
3712251.00;0;0;0;0;1;10;10942000;"RIO QUIXITO";2;;;
3712252.00;0;0;0;0;1;10;10942100;"IGARAPÉ ARARAS";1;;;
3712253.00;0;0;0;0;1;10;10942200;"IGARAPÉ DA COLÔNIA";2;;;
3712254.00;0;0;0;0;1;10;10942300;"IGARAPÉ ANDIRATUBA";2;;;
3712255.00;0;0;0;0;1;10;10942400;"IGARAPÉ BOA VISANTA";2;;;
3712259.00;0;0;0;0;1;11;11100000;"RIO ARARIA";2;;;
3712260.00;0;0;0;0;1;11;11101000;"RIO TACANA / IGARAPÉ TACANA";1;;;
3712261.00;0;0;0;0;1;11;11102000;"IGARAPÉ PRETO / IGARAPÉ BELÉM";1;;;
3712262.00;0;0;0;0;1;11;11103000;"IGARAPÉ CAPIAI";2;;;
3712263.00;0;0;0;0;1;11;11104000;"IGARAPÉ SAJARA";2;;;
3712264.00;0;0;0;0;1;11;11105000;"IGARAPÉ JURUPARI";2;;;
3712265.00;0;0;0;0;1;11;11106000;"IGARAPÉ CAJARÍ";2;;;
3712266.00;0;0;0;0;1;11;11107000;"IGARAPÉ MACAPUANO";2;;;
3712267.00;0;0;0;0;1;11;11108000;"IGARAPÉ PARANAPARA";2;;;
3712268.00;0;0;0;0;1;11;11109000;"IGARAPÉ CAMATIA";2;;;
3712269.00;0;0;0;0;1;11;11200000;"RIO JANDIATUBA";2;;;
3712270.00;0;0;0;0;1;11;11200100;"IGARAPÉ ALERTA";2;;;
3712271.00;0;0;0;0;1;11;11200200;"IGARAPÉ PIRITA";2;;;
3712272.00;0;0;0;0;1;11;11200300;"IGARAPÉ PACIÊNCIA";2;;;
3712273.00;0;0;0;0;1;11;11200400;"IGARAPÉ BOTELHO";2;;;
3712274.00;0;0;0;0;1;11;11200500;"IGARAPÉ CATUQUINA";2;;;
3712275.00;0;0;0;0;1;11;11200600;"IGARAPÉ BACIA";2;;;
3712276.00;0;0;0;0;1;11;11200700;"IGARAPÉ PENITÊNCIA";2;;;
3712277.00;0;0;0;0;1;11;11200800;"IGARAPÉ INFERNO";2;;;
3712278.00;0;0;0;0;1;11;11200900;"IGARAPÉ SÃO PEDRO";2;;;
3712279.00;0;0;0;0;1;11;11201000;"IGARAPÉ CA-TE-ESPERO";2;;;
3712280.00;0;0;0;0;1;11;11201100;"IGARAPÉ JUTAIZINHO";2;;;
3712281.00;0;0;0;0;1;11;11201200;"IGARAPÉ JOÃO RAMIRO";2;;;
3712282.00;0;0;0;0;1;11;11201300;"IGARAPÉ DAMASCENO";2;;;
3712283.00;0;0;0;0;1;11;11201400;"IGARAPÉ COTOVELO";2;;;
3712284.00;0;0;0;0;1;11;11201500;"IGARAPÉ TRUNFO E PAU";2;;;
3712285.00;0;0;0;0;1;11;11201600;"IGARAPÉ PALESTINA";2;;;
3712286.00;0;0;0;0;1;11;11201700;"IGARAPÉ BOA VISANTA";2;;;
3712287.00;0;0;0;0;1;11;11201800;"IGARAPÉ BOA ESPERANÇA";2;;;
3712288.00;0;0;0;0;1;11;11201900;"IGARAPÉ NATAL";2;;;
3712289.00;0;0;0;0;1;11;11202000;"IGARAPÉ PRETO";2;;;
3712290.00;0;0;0;0;1;11;11202100;"IGARAPÉ SANTA CRUZ";2;;;
3712291.00;0;0;0;0;1;11;11202200;"IGARAPÉ EXTREMA";2;;;
3712292.00;0;0;0;0;1;11;11202300;"IGARAPÉ SÃO JOÃO";2;;;
3712293.00;0;0;0;0;1;11;11202400;"IGARAPÉ TAPIRA";2;;;
3712294.00;0;0;0;0;1;11;11202500;"IGARAPÉ BACABA";2;;;
3712295.00;0;0;0;0;1;11;11300000;"RIO CATURIAPIXUNA";2;;;
3712296.00;0;0;0;0;1;11;11310000;"RIO PUTUMAYO/IÇÁ";1;;;
3712298.00;0;0;0;0;1;11;11314100;"IGARAPÉ SÃO CRISANTOVÃO";2;;;
3712299.00;0;0;0;0;1;11;11314200;"IGARAPÉ FRONTEIRA";2;;;
3712300.00;0;0;0;0;1;11;11314300;"IGARAPÉ MAMORIA";2;;;
3712301.00;0;0;0;0;1;11;11314400;"IGARAPÉ CAUIRA";2;;;
3712302.00;0;0;0;0;1;11;11315000;"RIO PURETE OU PURATA";1;;;
3712303.00;0;0;0;0;1;11;11316000;"RIO JAMANARI";2;;;
3712304.00;0;0;0;0;1;11;11317000;"IGARAPÉ UNIÃO";2;;;
3712305.00;0;0;0;0;1;11;11317100;"IGARAPÉ FLORIDA";2;;;
3712306.00;0;0;0;0;1;11;11317200;"IGARAPÉ VE-UE";2;;;
3712307.00;0;0;0;0;1;11;11317300;"IGARAPÉ JAPACUA";2;;;
3712308.00;0;0;0;0;1;11;11318000;"PARANÃ JACURAPA";2;;;
3712309.00;0;0;0;0;1;11;11400000;"RIO PATIA";2;;;
3712310.00;0;0;0;0;1;11;11410000;"RIO TONANTINS";2;;;
3712311.00;0;0;0;0;1;11;11420000;"IGARAPÉ MATURACUPACA";2;;;
3712312.00;0;0;0;0;1;11;11430000;"IGARAPÉ DO MARACA";2;;;
3712313.00;0;0;0;0;1;11;11440000;"IGARAPÉ MATURA";2;;;
3712314.00;0;0;0;0;1;11;11450000;"IGARAPÉ ARUTI";2;;;
3712315.00;0;0;0;0;1;11;11460000;"PARANÃ DO BARURUA";2;;;
3712316.00;0;0;0;0;1;11;11470000;"IGARAPÉ TIMBO";2;;;
3712320.00;0;0;0;0;1;12;12100000;"RIO AUTI PARANA";2;;;
3712321.00;0;0;0;0;1;12;12101000;"IGARAPÉ DO PE VELHO";2;;;
3712322.00;0;0;0;0;1;12;12102000;"FURO ENVIRA";2;;;
3712323.00;0;0;0;0;1;12;12103000;"RIO JUTAÍ";2;;;
3712324.00;0;0;0;0;1;12;12103100;"RIO JUTAIZINHO";2;;;
3712325.00;0;0;0;0;1;12;12103200;"RIO CURUEUA";2;;;
3712326.00;0;0;0;0;1;12;12103300;"RIO MUTUM";2;;;
3712327.00;0;0;0;0;1;12;12103310;"RIO PAJURA";2;;;
3712328.00;0;0;0;0;1;12;12103400;"RIO PATÍ";2;;;
3712329.00;0;0;0;0;1;12;12103500;"RIO BIA";2;;;
3712330.00;0;0;0;0;1;12;12103600;"RIO CATIUAIA";2;;;
3712331.00;0;0;0;0;1;12;12103700;"RIO RIOZINHO";2;;;
3712332.00;0;0;0;0;1;12;12103800;"IGARAPÉ CAPATANA";2;;;
3712333.00;0;0;0;0;1;12;12104000;"IGARAPÉ ICAPÓ";2;;;
3712334.00;0;0;0;0;1;12;12105000;"IGARAPÉ CAPECU";2;;;
3712335.00;0;0;0;0;1;12;12106000;"IGARAPÉ PROCELA";2;;;
